name,rating,phone,website
"Citya Ryaux","","",""
"Immobilier neuf Dijon - Médicis Immobilier Neuf Dijon","4.6","03 39 72 95 16",""
"Agence Immolys Nuits Saint Georges","4.2","03 80 40 07 43","http://immolysbeaune.com/"
"Agence République","4.2","03 80 61 22 63","https://www.republique-immobilier.com/immobilier+nuits-saint-georges+21.html"
"Fnaim Centrale De L'Immobilier Adhérent","5.0","03 80 62 34 63","http://www.centralimmo.fr/"
"Immobilière GAY","5.0","03 80 61 34 77","http://www.immobourgogne.fr/"
"Neyrat Immobilier Nuits-Saint-Georges","5.0","06 16 01 98 40","https://www.neyrat-immobilier.fr/"
"ANGELIQUE REINERT-IMMOBILIER","5.0","06 68 56 14 82",""
"Immo Passion","","03 80 23 33 43","https://www.immopassion-dijon.com/index.php"
"Ysia BERGEROT - Orpi Immobilier","5.0","07 61 67 34 68",""
"REGIE PINARD ALLEMAND","5.0","","https://location-bourgogne.fr/"
"Thibaut BAVEREL - OPTIMHOME IMMOBILIER","","06 07 15 71 91","https://www.optimhome.com/conseillers/baverel"
"Anouk Schaeffer Immobilier D-Habitat","5.0","","https://www.l-agence-immobiliere.fr/anouk-schaeffer"
"Agence Immobiliere Gay","4.4","03 80 22 48 34","http://www.immobourgogne.fr/"
"Stéphane Plaza Immobilier BEAUNE","4.5","03 80 80 18 88","https://beaune.stephaneplazaimmobilier.com/"
"Megagence21","","07 70 27 55 09","http://www.megagence.com/"
"HLM (Sa)","2.3","03 80 61 17 58",""
"Stéphane Plaza Immobilier DIJON NORD","4.6","03 80 52 52 46","https://dijonnord.stephaneplazaimmobilier.com/"
"République Transactions","4.7","03 80 22 39 60","http://www.republique-transactions.fr/"
"Anaïs Marchand mandataire NEOS Immo","5.0","06 75 54 98 32","https://neos-immo.com/agent/anais-marchand"
"Immobilière Gay","3.4","03 80 21 77 16","http://www.immobourgogne.fr/"
"Rue challand","","",""
"Vergy Immobilier","4.7","06 07 73 67 91","http://www.vergy.immo/"
"Neyrat Immobilier Chalon sur Saône","4.0","","https://www.neyrat-immobilier.fr/agence-immobiliere-chalon-sur-saone.php"
"Maud Commaret - Négociatrice immobilier","4.9","06 66 81 67 41","https://www.facebook.com/p/Maud-Commaret-Immobilier-100083027147720/"
"Gaelle ROTH DIT BETTONI Immobilier","5.0","","https://www.capifrance.fr/"
"Brice Rapallo conseiller immobilier ENDIE DIJON","4.7","",""
"Jura Ikami immobilier - Arnaud Mercier - conseil - estimation - transaction - location","4.9","","https://ikami.fr/conseiller_arnaud-mercier"
"AGENCE REPUBLIQUE","2.9","03 80 60 04 20","http://www.republique-immobilier.com/"
"BERSOT IMMOBILIER Dijon","4.3","","https://www.bersot.net/"
"Dubaï Expert Immo","5.0","","https://www.dubaiexpertimmo.com/"
"Capifrance : Corinne COTIGNY","5.0","06 45 81 62 69","https://www.capifrance.fr/conseillers/corinne.cotigny"
"Area Casa Marsannay-la-Côte","4.4","07 82 69 49 30","http://areacasa.fr/?utm_source=gmb"
"RC IMMOBILIER & CONSULTING","4.7","","http://www.rc-immobilier.com/"
"CF Location","","03 80 62 33 55",""